address,size,price,garage,bedroom,bathroom,url
"Rua Professor Fábio de Souza, 366 - Santa Quitéria, Curitiba - PR",44,R$ 255.000,1 Vaga,1 Quarto,1 Banheiro,https://www.vivareal.com.br/imovel/apartamento-1-quartos-santa-quiteria-bairros-curitiba-com-garagem-44m2-venda-RS255000-id-2502090328/
"Avenida Presidente Getúlio Vargas, 2340 - Água Verde, Curitiba - PR",83,R$ 350.000,1 Vaga,3 Quartos,3 Banheiros,https://www.vivareal.com.br/imovel/apartamento-3-quartos-agua-verde-bairros-curitiba-com-garagem-83m2-venda-RS350000-id-2496416486/
"Rua Assis Figueiredo, 1315 - Guaíra, Curitiba - PR",69,R$ 284.000,1 Vaga,3 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-3-quartos-guaira-bairros-curitiba-com-garagem-69m2-venda-RS284000-id-2504660923/
"Rua Machado de Assis, 470 - Juvevê, Curitiba - PR",89,R$ 780.000,2 Vagas,3 Quartos,2 Banheiros,https://www.vivareal.com.br/imoveis-lancamento/terrasse-idee-1038790397/
"Avenida Iguaçu, 2666 - Água Verde, Curitiba - PR",140,R$ 980.000,2 Vagas,3 Quartos,5 Banheiros,https://www.vivareal.com.br/imovel/apartamento-3-quartos-agua-verde-bairros-curitiba-com-garagem-140m2-venda-RS980000-id-2501868738/
"Rua Comendador Araújo, 80 - Centro, Curitiba - PR",198,R$ 620.000,1 Vaga,4 Quartos,4 Banheiros,https://www.vivareal.com.br/imovel/apartamento-4-quartos-centro-bairros-curitiba-com-garagem-198m2-venda-RS620000-id-2507684282/
"Rua Guararapes, 1391 - Vila Izabel, Curitiba - PR",65,R$ 349.000,1 Vaga,3 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-3-quartos-vila-izabel-bairros-curitiba-com-garagem-65m2-venda-RS349000-id-2495806191/
"Rua Jovino do Rosário, 1526 - Boa Vista, Curitiba - PR",62,R$ 460.000,1 Vaga,2 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-2-quartos-boa-vista-bairros-curitiba-com-garagem-62m2-venda-RS460000-id-2508135982/
"Rua João Batista Dallarmi, 221 - Santo Inácio, Curitiba - PR",77,R$ 520.000,2 Vagas,3 Quartos,3 Banheiros,https://www.vivareal.com.br/imovel/apartamento-3-quartos-santo-inacio-bairros-curitiba-com-garagem-77m2-venda-RS520000-id-2494695622/
"Rua Agostinho Ângelo Trevisan, 582 - Uberaba, Curitiba - PR",77,R$ 335.000,1 Vaga,3 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-3-quartos-uberaba-bairros-curitiba-com-garagem-77m2-venda-RS335000-id-2495756878/
"Rua Colombo, 21 - Juvevê, Curitiba - PR",107,R$ 780.000,2 Vagas,3 Quartos,2 Banheiros,https://www.vivareal.com.br/imoveis-lancamento/terrasse-vivante-2499476198/
"Rua Desembargador Aristóxenes Bittencourt, 46 - Tarumã, Curitiba - PR",70,R$ 471.000,1 Vaga,2 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-2-quartos-taruma-bairros-curitiba-com-garagem-70m2-venda-RS471000-id-2510688994/
"Rua Marechal Anor Teixeira dos Santos, 677 - Boa Vista, Curitiba - PR",53,R$ 150.000,1 Vaga,3 Quartos,1 Banheiro,https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-vista-bairros-curitiba-com-garagem-53m2-venda-RS150000-id-2503639727/
"Rua Justo Manfron, 1060 - Santa Felicidade, Curitiba - PR",50,R$ 220.000,1 Vaga,2 Quartos,1 Banheiro,https://www.vivareal.com.br/imovel/apartamento-2-quartos-santa-felicidade-bairros-curitiba-com-garagem-50m2-venda-RS220000-id-2503412683/
"Rua Gonçalves Dias, 406 - Batel, Curitiba - PR",58,R$ 300.000,1 Vaga,2 Quartos,1 Banheiro,https://www.vivareal.com.br/imovel/apartamento-2-quartos-batel-bairros-curitiba-com-garagem-58m2-venda-RS300000-id-2483648741/
"Rua Rodolfo Bernardelli, 613 - Uberaba, Curitiba - PR",59,R$ 230.000,1 Vaga,2 Quartos,1 Banheiro,https://www.vivareal.com.br/imovel/apartamento-2-quartos-uberaba-bairros-curitiba-com-garagem-59m2-venda-RS230000-id-2476116176/
"Rua Professora Doracy Cezzarino, 138 - Portão, Curitiba - PR",155,R$ 1.590.000,2 Vagas,3 Quartos,5 Banheiros,https://www.vivareal.com.br/imovel/apartamento-3-quartos-portao-bairros-curitiba-com-garagem-155m2-venda-RS1590000-id-2503198969/
"Rua Engenheiro Arthur Bettes, 49 - Portão, Curitiba - PR",102-108,R$ 708.000,2 Vagas,3 Quartos,2 Banheiros,https://www.vivareal.com.br/imoveis-lancamento/evora-8279/
"Rua Guaianazes, 882 - Vila Izabel, Curitiba - PR",77-98,R$ 675.000,1-2 Vagas,2-3 Quartos,1-2 Banheiros,https://www.vivareal.com.br/imoveis-lancamento/stanford-9171/
"Rua São Bento, 2023 - Hauer, Curitiba - PR",46,R$ 208.000,1 Vaga,2 Quartos,1 Banheiro,https://www.vivareal.com.br/imovel/apartamento-2-quartos-hauer-bairros-curitiba-com-garagem-46m2-venda-RS208000-id-2501958615/
"Rua Alferes Ângelo Sampaio, 1322 - Água Verde, Curitiba - PR",252-352,R$ 3.932.000,1-2 Vagas,3-4 Quartos,4-5 Banheiros,https://www.vivareal.com.br/imoveis-lancamento/one-batel-2476292929/
"Rua Doutor Pedrosa, 104 - Centro, Curitiba - PR",90,R$ 370.000,1 Vaga,3 Quartos,1 Banheiro,https://www.vivareal.com.br/imovel/apartamento-3-quartos-centro-bairros-curitiba-com-garagem-90m2-venda-RS370000-id-2500051817/
"Estrada Guilherme Weigert, 1655 - Santa Cândida, Curitiba - PR",42,R$ 149.999,1 Vaga,2 Quartos,1 Banheiro,https://www.vivareal.com.br/imovel/apartamento-2-quartos-santa-candida-bairros-curitiba-com-garagem-42m2-venda-RS149999-id-2489976981/
"Rua Dante Luiz Júnior, 581 - Capão Raso, Curitiba - PR",50,R$ 198.900,1 Vaga,3 Quartos,1 Banheiro,https://www.vivareal.com.br/imovel/apartamento-3-quartos-capao-raso-bairros-curitiba-com-garagem-50m2-venda-RS198900-id-2494609708/
"Rua Santa Catarina, 612 - Água Verde, Curitiba - PR",65,R$ 300.000,1 Vaga,2 Quartos,1 Banheiro,https://www.vivareal.com.br/imovel/apartamento-2-quartos-agua-verde-bairros-curitiba-com-garagem-65m2-venda-RS300000-id-2508121879/
"Rua Alberto Folloni - Ahú, Curitiba - PR",94,R$ 750.000,2 Vagas,2 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-2-quartos-ahu-bairros-curitiba-com-garagem-94m2-venda-RS750000-id-2427784283/
"Rua General Potiguara, 1300 - Novo Mundo, Curitiba - PR",66,R$ 175.000,-- Vaga,2 Quartos,1 Banheiro,https://www.vivareal.com.br/imovel/apartamento-2-quartos-novo-mundo-bairros-curitiba-66m2-venda-RS175000-id-2509775182/
"Rua Baltazar Carrasco dos Reis, 1772 - Rebouças, Curitiba - PR",33,"A partir de
R$ 246.600",1-2 Vagas,1 Quarto,1 Banheiro,https://www.vivareal.com.br/imoveis-lancamento/central-street-2473211627/
"Avenida Visconde de Guarapuava, 3806 - Centro, Curitiba - PR",33,R$ 389.000,1 Vaga,1 Quarto,1 Banheiro,https://www.vivareal.com.br/imovel/apartamento-1-quartos-centro-bairros-curitiba-com-garagem-33m2-venda-RS389000-id-2492423846/
"Rua Mateus Leme, 1244 - Centro Cívico, Curitiba - PR",75,R$ 259.000,1 Vaga,3 Quartos,1 Banheiro,https://www.vivareal.com.br/imovel/apartamento-3-quartos-centro-civico-bairros-curitiba-com-garagem-75m2-venda-RS259000-id-2507841185/
"Vila Izabel, Curitiba - PR",149,R$ 510.000,1 Vaga,3 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-3-quartos-vila-izabel-bairros-curitiba-com-garagem-149m2-venda-RS510000-id-2504400395/
"Rua Buenos Aires, 492 - Batel, Curitiba - PR",89,R$ 900.000,2 Vagas,2 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-2-quartos-batel-bairros-curitiba-com-garagem-89m2-venda-RS900000-id-2510730201/
"Rua Sanito Rocha - Cristo Rei, Curitiba - PR",66,R$ 448.000,1 Vaga,2 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-2-quartos-cristo-rei-bairros-curitiba-com-garagem-66m2-venda-RS448000-id-2427692269/
"Rua Mateus Leme, 1074 - Centro Cívico, Curitiba - PR",87,R$ 390.000,1 Vaga,3 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-3-quartos-centro-civico-bairros-curitiba-com-garagem-87m2-venda-RS390000-id-2501614403/
"Rua Manoel Eufrásio, 949 - Juvevê, Curitiba - PR",119-195,"A partir de
R$ 1.023.000",2-4 Vagas,3 Quartos,2-4 Banheiros,https://www.vivareal.com.br/imoveis-lancamento/terrasse-riviere-2434809514/
"Rua Daniel Comboni, 11 - Fazendinha, Curitiba - PR",57,R$ 245.000,1 Vaga,3 Quartos,1 Banheiro,https://www.vivareal.com.br/imovel/apartamento-3-quartos-fazendinha-bairros-curitiba-com-garagem-57m2-venda-RS245000-id-2510441781/
"Rua Alferes Ângelo Sampaio, 1000 - Água Verde, Curitiba - PR",157,R$ 1.500.000,2 Vagas,3 Quartos,4 Banheiros,https://www.vivareal.com.br/imovel/apartamento-3-quartos-agua-verde-bairros-curitiba-com-garagem-157m2-venda-RS1500000-id-2489471481/
"Rua Athaide Cardon - Novo Mundo, Curitiba - PR",58,R$ 290.000,1 Vaga,2 Quartos,1 Banheiro,https://www.vivareal.com.br/imovel/apartamento-2-quartos-novo-mundo-bairros-curitiba-com-garagem-58m2-venda-RS290000-id-2427760132/
"Rua Athaide Cardon, 38 - Novo Mundo, Curitiba - PR",52,R$ 265.000,1 Vaga,2 Quartos,1 Banheiro,https://www.vivareal.com.br/imovel/apartamento-2-quartos-novo-mundo-bairros-curitiba-com-garagem-52m2-venda-RS265000-id-2505500801/
"Rua Benjamin Constant, 45 - Centro, Curitiba - PR",43,R$ 230.000,1 Vaga,1 Quarto,1 Banheiro,https://www.vivareal.com.br/imovel/apartamento-1-quartos-centro-bairros-curitiba-com-garagem-43m2-venda-RS230000-id-2506844199/
"Avenida São José - Cristo Rei, Curitiba - PR",67,R$ 240.000,1 Vaga,3 Quartos,1 Banheiro,https://www.vivareal.com.br/imovel/apartamento-3-quartos-cristo-rei-bairros-curitiba-com-garagem-67m2-venda-RS240000-id-2427780791/
"Avenida Munhoz da Rocha, 122 - Cabral, Curitiba - PR",223-225,R$ 2.345.000,3 Vagas,3-4 Quartos,4-5 Banheiros,https://www.vivareal.com.br/imoveis-lancamento/aria-2484693374/
"Rua Juvenal Carvalho, 190 - Fazendinha, Curitiba - PR",51,R$ 195.000,1 Vaga,3 Quartos,1 Banheiro,https://www.vivareal.com.br/imovel/apartamento-3-quartos-fazendinha-bairros-curitiba-com-garagem-51m2-venda-RS195000-id-2468277694/
"Rua Senador Accioly Filho, 1240 - Cidade Industrial, Curitiba - PR",52,R$ 145.000,1 Vaga,2 Quartos,1 Banheiro,https://www.vivareal.com.br/imovel/apartamento-2-quartos-cidade-industrial-bairros-curitiba-com-garagem-52m2-venda-RS145000-id-2508784674/
"Rua Chichorro Júnior, 371 - Cabral, Curitiba - PR",86,R$ 690.000,2 Vagas,3 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-3-quartos-cabral-bairros-curitiba-com-garagem-86m2-venda-RS690000-id-2501963519/
"Rua Alberto Folloni, 594 - Juvevê, Curitiba - PR",100,R$ 480.000,1 Vaga,2 Quartos,3 Banheiros,https://www.vivareal.com.br/imovel/apartamento-2-quartos-juveve-bairros-curitiba-com-garagem-100m2-venda-RS480000-id-2500035115/
"Rua Professor João Falarz, 555 - Orleans, Curitiba - PR",71,R$ 430.000,1 Vaga,3 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-3-quartos-orleans-bairros-curitiba-com-garagem-71m2-venda-RS430000-id-2509000085/
"Rua João Domachoski, 400 - Ecoville, Curitiba - PR",72,R$ 605.000,1 Vaga,2 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-2-quartos-ecoville-bairros-curitiba-com-garagem-72m2-venda-RS605000-id-2503776376/
"Travessa Irmã Júlia, 33 - Ahú, Curitiba - PR",103-107,"A partir de
R$ 850.000",2 Vagas,3 Quartos,4 Banheiros,https://www.vivareal.com.br/imoveis-lancamento/terrasse-voyant-7813/
"Rua Baltazar Carrasco dos Reis, 1772 - Rebouças, Curitiba - PR",39,R$ 259.000,1 Vaga,1 Quarto,1 Banheiro,https://www.vivareal.com.br/imovel/apartamento-1-quartos-reboucas-bairros-curitiba-com-garagem-39m2-venda-RS259000-id-2504077387/
"Rua Conselheiro Laurindo, 80 - Centro, Curitiba - PR",42,R$ 280.000,1 Vaga,1 Quarto,1 Banheiro,https://www.vivareal.com.br/imovel/apartamento-1-quartos-centro-bairros-curitiba-com-garagem-42m2-venda-RS280000-id-2509937895/
